1. 凯瑟琳汽车服务中心
   地址: 北京市昌平区兴昌佳苑11号楼底商
   电话: 13366443737
   营业时间: 09:00-17:00

2. 晶洁洗车店
   地址: 北京市北京市通州区漷马路与西田阳路交叉口东140米
   电话: 15210558528
   营业时间: 09:00-17:00

3. 橄榄绿汽车服务中心
   地址: 北京市房山区长兴东街9号院8号楼101
   电话: 18001328489
   营业时间: 09:00-17:00

4. 北京极跑养车
   地址: 北京市北京市朝阳区京通快速路与京通快速路入口交叉口东北100米北京极跑养车
   电话: 13718127690
   营业时间: 09:00-17:00

5. 金亿辉洗车房
   地址: 北京市海淀区晋元庄桥南100米
   电话: 18618182007
   营业时间: 09:00-17:00

6. 龙腾星辉汽车服务
   地址: 北京市丰台区南苑镇槐房路44号易净自助洗车（槐房路店）旁边
   电话: 13552829882
   营业时间: 09:00-17:00

7. 统一润滑油车至尚养护
   地址: 北京市朝阳区崔各庄地区京旺家园4区B1-3号底商一层5门
   电话: 13436960922
   营业时间: 09:00-17:00

8. 三友恒通洗车之家
   地址: 北京市丰台区嘉园北路星河苑1号院26号楼底商三友汽车之家
   电话: 13121985359
   营业时间: 09:00-17:00

9. 龙岗兴业综合能源服务有限公司
   地址: 北京市北京市房山区房易路二龙岗公交站南300米路东
   电话: 13070185999
   营业时间: 09:00-17:00

10. 北京全顺发达汽车装饰有限公司
   地址: 北京市密云区果园西路甲14号楼1--2层北京全顺发达汽车装饰有限公司
   电话: 13716540888
   营业时间: 09:00-16:00

11. 北京中旺吉业汽车修理有限公司
   地址: 北京市朝阳区北四环东路1号首汽第四修理厂院内
   电话: 13701028962
   营业时间: 09:00-17:00

12. 万通汽车服务店
   地址: 北京市房山区西潞街道办事处太平庄东里20号楼万通汽车服务店
   电话: 13683165944
   营业时间: 09:00-17:00

13. 欣达汽车养护
   地址: 北京市通州区永顺镇潞邑西路欣达汽车养护中心
   电话: 18600797910
   营业时间: 09:00-17:00

14. 北京鑫源汽修服务中心
   地址: 北京市大兴区北京鑫源汽修服务中心
   电话: 13641323231
   营业时间: 09:00-17:00

15. 北京市铁狮飞腾汽车服务中心
   地址: 北京市昌平区马池口镇下念头村北京市铁狮飞腾汽车服务中心
   电话: 13466520667
   营业时间: 09:00-17:00

16. 壳牌喜力汽车维修养护（八角店）
   地址: 北京市石景山区八角北路11号院底商壳牌喜力汽车维修养护（八角店）
   电话: 13331027592
   营业时间: 09:00-17:00

17. 东方嘉业汽车维修服务中心
   地址: 北京市顺义区高丽营镇清央学堂东方嘉业汽车维修服务中心
   电话: 13810756204
   营业时间: 09:00-17:00

18. 东创时尚方向车行
   地址: 北京市通州区科创五街九号（东创大厦西侧）
   电话: 15145980095
   营业时间: 09:00-17:00

19. 润泽汽车养护中心
   地址: 北京市昌平区马池口宏道村23号
   电话: 18710238221
   营业时间: 09:00-17:00

20. 盛奥通汽车服务有限公司回龙观分店
   地址: 北京市北京市昌平区回龙观太平庄北街东村家园南门东50米
   电话: 13331101070
   营业时间: 09:00-17:00

21. 澳北利达汽修
   地址: 北京市北京市海淀区宝盛里37号楼底商一层
   电话: 13261220624
   营业时间: 09:00-17:00

22.  鑫向东汽车维修服务中心
   地址: 北京市延庆区延康路与康张路交叉口东120
   电话: 13241051105
   营业时间: 09:00-18:00

23. 北京甲森汽车服务有限公司
   地址: 北京市平谷区税务局红绿灯往北100米路东
   电话: 13811062067
   营业时间: 08:00-17:00

24. 北京仁合志成汽车修理厂
   地址: 北京市平谷区平谷镇平谷南街甲2号
   电话: 13581763761
   营业时间: 09:00-18:00

25. 长晟堂汽车生活馆（汉威国际广场店）
   地址: 北京市丰台区汉威国际广场4区7号楼B2车库长晟堂汽车
   电话: 13521585600
   营业时间: 09:00-17:00

26. 兄弟营汽车修理一站式服务中心
   地址: 北京市平谷区王辛庄镇平关路与齐王路交叉口西北260米
   电话: 13911527603
   营业时间: 08:00-18:00

27. 北京市国亚亚汽车修理有限责任公司
   地址: 北京市石景山区鲁谷路55号4幢
   电话: 13691494824
   营业时间: 09:00-17:00

28. 首方汽车服务有限公司
   地址: 北京市丰台区六里桥南里甲19号1幢地下一层009号
   电话: 13126618978
   营业时间: 09:00-17:00

29. 北京超飞汽车修理有限公司
   地址: 北京市大兴区礼贤镇大辛庄辛英街5号
   电话: 13126916848
   营业时间: 08:00-18:00

30. 换油中心
   地址: 北京市朝阳区王四营乡能链（大柳树加油站内）
   电话: 18519655593
   营业时间: 09:00-17:00

31. 北京世纪鸿运汽车服务有限公司
   地址: 北京市丰台区新发地潘家庙518号（新发地汽车综合性能检测站院内）
   电话: 13910811105
   营业时间: 08:00-17:00

32. 北京市东解顺汽车维修中心有限公司
   地址: 北京市顺义区牛栏山镇铁路西侧9号
   电话: 13601113876
   营业时间: 09:00-17:00

33. 京安驰汽车维修服务
   地址: 北京市顺义区高白路与四村北路一巷交叉口西南40米
   电话: 18911005324
   营业时间: 09:00-17:00

34. 北京市京宏汽车修理有限责任公司
   地址: 北京市顺义区G101
   电话: 13910582938
   营业时间: 09:00-17:00

35. 北京鸿鑫美容装饰
   地址: 北京市通州区宋庄镇烛光路烛光小区东南侧
   电话: 15010637450
   营业时间: 09:00-17:00

36. 禧克汽车俱乐部三里屯店
   地址: 北京市朝阳区工体北路13号世茂广场工三B2
   电话: 17813226810
   营业时间: 09:00-17:00

37. 途虎养车瑞都公园世家店
   地址: 北京市通州区梨园镇瑞都公园世家南区底商（停车费自理）
   电话: 13910970671
   营业时间: 09:00-17:00

38. 优锢嘉养车中心（超过15分钟停车会产生停车费需自理，6元/小时）
   地址: 北京市丰台区公益西桥华联商厦地库一层
   电话: 18600115588
   营业时间: 09:00-17:00

39. 北京车宜洁汽车服务
   地址: 北京市海淀区阜石路59号A区
   电话: 18500455598
   营业时间: 09:00-17:00

40. 德国马牌
   地址: 北京市朝阳区大郊亭北街珠江帝景B区北侧停车场院内，营业时间8：00-18：00
   电话: 13611369375
   营业时间: 08:00-18:00

41. 华信晟源汽车美容装饰中心1
   地址: 北京市北京市顺义区仁和镇河南村好梦情缘KTV旁边华信晟源汽车美容装饰中心
   电话: 15701696603
   营业时间: 09:00-17:00

42. 众车汇汽车维修（收费停车场内，费用需自理）
   地址: 北京市朝阳区红松路东坝南二街东泽园1号楼底商102-103汽车人家
   电话: 13051800001
   营业时间: 09:00-17:00

43. 富豪洗车人家
   地址: 北京市通州区宋庄镇富豪村南口中石化龙禹加油站背后地磅房旁边富豪洗车人家
   电话: 17710134139
   营业时间: 09:00-17:00

44. 吉第汽车
   地址: 北京市西城区马甸吉第嘉园地下车库B2出口吉第汽车
   电话: 13611275173
   营业时间: 09:00-17:00

45. 易游恒通汽车技术服务有限公司
   地址: 北京市顺义区李桥镇龙塘路与机场东路交叉口路北易游恒通汽车技术服务有限公司
   电话: 13370407261
   营业时间: 09:00-17:00

46. 北京鹏旺靓达邓禄普轮胎专卖店
   地址: 北京市通州区玉桥中路110号
   电话: 13717713886
   营业时间: 09:00-17:00

47. 统一润滑油洗车店
   地址: 北京市朝阳区百子湾路27号燕鑫兆元加油站
   电话: 13240718869
   营业时间: 09:00-17:00

48. 金鼎洗车行
   地址: 北京市密云区鼓楼街道新东路36号金鼎洗车行
   电话: 18232234529
   营业时间: 09:00-16:00

49. 北京春来财汽车装饰用品销售部
   地址: 北京市北京市平谷区乐园西小区甲35号
   电话: 15901293878
   营业时间: 09:00-16:00

50. 建华余莉汽车装饰服务部
   地址: 北京市北京市海淀区颐和园路新建宫门路管理处西侧
   电话: 13161181838
   营业时间: 09:00-17:00

51. 奥德晟通汽车服务
   地址: 北京市北京市朝阳区十八里店后祈庄村67号
   电话: 18610871455
   营业时间: 09:00-17:00

52. 翼之行汽车服务
   地址: 北京市大兴区龙河路瑞康家园小区1号地库负一层翼之行汽车服务
   电话: 18701464767
   营业时间: 09:00-17:00

53. 翼之行汽车服务中心-御槐园店
   地址: 北京市丰台区南苑街道御槐园小区16号楼B1层
   电话: 15582862690
   营业时间: 09:00-17:00

54. 富豪洗车装饰店
   地址: 北京市北京市通州区宋庄镇富豪村656号
   电话: 17610976307
   营业时间: 09:00-17:00

55. 北京鑫雨广业汽车装饰中心
   地址: 北京市北京市延庆区石河营建材城北大4号
   电话: 13910178075
   营业时间: 09:00-16:00

56. 马甸经典家园地库洗车
   地址: 北京市朝阳区祁家豁子街8号
   电话: 15501006296
   营业时间: 09:00-17:00 

57. 福润公司洗美中心
   地址: 北京市北京市延庆区北京福润汽车修理有限公司北门旁
   电话: 13641058075
   营业时间: 09:00-16:00

58. H.D汽美俱乐部
   地址: 北京市朝阳区龙爪树241号H.D汽美俱乐部
   电话: 18500029321
   营业时间: 09:00-17:00

59. 云飞轮胎城（佳通轮胎）
   地址: 北京市通州区张家湾牌楼营云飞轮胎城
   电话: 13911701198
   营业时间: 09:00-17:00

60. 万寿路源达汽车养护中心
   地址: 北京市海淀区太平路25号源达汽车养护中心
   电话: 13341158035
   营业时间: 09:00-17:00

61. 北京金迪汽车美容
